ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q5,time_1,time_2,time_3,time_4,f1,comp1,f2,comp2,f3,comp3,f4,comp4,f5,inco5,f6,inco6,f7,inco7,f8,inco8,f1,comp9,f2,comp10,f3,comp11,f4,comp12,f5,inco13,f6,inco14,f7,inco15,f8,inco16,f1,inco1,f2,inco2,f3,inco3,f4,inco4,f5,comp5,f6,comp6,f7,comp7,f8,comp8,f1,inco9,f2,inco10,f3,inco11,f4,inco12,f5,comp13,f6,comp14,f7,comp15,f8,comp16,sex,age,DO-BR-FL_45,DO-BL-Sentences1,DO-BL-Sentences2,LocationLatitude,LocationLongitude,LocationAccuracy
R_6Ao0wFh2JQPorbv,Default Response Set,Anonymous,,,98.14.37.253,0,29/02/16 15:35,29/02/16 15:38,1,63592,A3BBK5YDUBRKYW,1,13.127,15.296,39.984,3,1,3,1,4,1,2,1,6,1,2,1,4,1,4,1,4,1,2,1,3,1,6,1,4,1,4,1,4,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,Sentences1,f1|comp11|f2|comp10|f3|comp12|f4|inco13|f5|inco16|f6|inco8|f7|inco14|f8|inco15|f1|comp3|f2|comp9|f3|comp4|f4|inco6|f5|inco7|f6|comp1|f7|comp2|f8|inco5,,40.75169373,-73.8832016,-1
R_064iUfYVHCcXbAp,Default Response Set,Anonymous,,,64.64.32.4,0,29/02/16 15:37,29/02/16 15:39,1,24570,A1LRJ2MQD4AMES,1,0,0,1.416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,1,2,1,6,1,6,1,6,1,7,1,2,1,5,1,3,1,5,1,7,1,7,1,7,1,7,1,33,Sentences2,,f1|inco10|f2|comp6|f3|inco12|f4|comp8|f5|comp5|f6|comp7|f7|comp15|f8|inco9|f1|inco11|f2|inco4|f3|inco2|f4|comp14|f5|comp13|f6|inco3|f7|comp16|f8|inco1,40.61520386,-75.54370117,-1
R_2sp5aGAuFKc4lwN,Default Response Set,Anonymous,,,207.144.30.36,0,29/02/16 15:37,29/02/16 15:39,1,46614,A2C84POENS2UNY,1,0,0,23.501,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,6,1,7,1,7,1,6,1,1,1,1,1,1,1,4,1,7,1,7,1,7,1,7,2,35,Sentences2,,f1|comp14|f2|comp13|f3|inco2|f4|inco12|f5|inco9|f6|comp7|f7|inco1|f8|inco10|f1|comp15|f2|comp6|f3|inco11|f4|comp5|f5|inco3|f6|inco4|f7|comp8|f8|comp16,36.4151001,-80.47730255,-1
R_dgwR6G3JEYleMYZ,Default Response Set,Anonymous,,,24.111.191.105,0,29/02/16 15:34,29/02/16 15:40,1,97948,AHL97G6KDCCF9,1,0,0,79.071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,7,1,7,1,7,1,7,1,3,1,4,1,3,1,2,1,7,1,7,1,7,1,7,2,33,Sentences2,,f1|inco4|f2|comp15|f3|comp14|f4|comp5|f5|inco9|f6|comp6|f7|inco11|f8|comp16|f1|comp13|f2|inco10|f3|inco2|f4|comp8|f5|comp7|f6|inco1|f7|inco3|f8|inco12,46.84640503,-96.74510193,-1
R_cSF1Uv6e7b6uqxL,Default Response Set,Anonymous,,,96.245.24.29,0,29/02/16 15:36,29/02/16 15:40,1,48776,A2VNR6984SDFGQ,1,0,0,41.13,0,1,7,1,7,1,7,1,7,1,1,1,1,1,1,1,1,1,6,1,7,1,7,1,7,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,Sentences1,f1|inco5|f2|comp3|f3|inco13|f4|inco16|f5|inco14|f6|comp9|f7|comp1|f8|inco7|f1|inco15|f2|comp12|f3|inco6|f4|comp2|f5|comp4|f6|comp11|f7|comp10|f8|inco8,,40.33250427,-75.85590363,-1
R_eUIRS1C8UMPmuqx,Default Response Set,Anonymous,,,108.56.231.28,0,29/02/16 15:37,29/02/16 15:41,1,87834,AEP4GVTNXCM86,1,0,0,44.776,0,1,7,1,6,1,5,1,5,1,2,1,2,1,4,1,2,1,5,1,2,1,2,1,7,1,4,1,4,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,Sentences1,f1|comp12|f2|inco15|f3|comp10|f4|comp3|f5|inco16|f6|inco6|f7|inco5|f8|inco8|f1|inco7|f2|comp1|f3|inco13|f4|comp9|f5|comp4|f6|comp2|f7|inco14|f8|comp11,,38.43359375,-77.38870239,-1
R_1XjtVhy2lvWMw9T,Default Response Set,Anonymous,,,165.225.34.84,0,29/02/16 15:38,29/02/16 15:41,1,83166,A1BPHW0KCTG34P,1,0,0,86.067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,1,5,1,5,1,6,1,5,1,6,1,6,1,5,1,5,1,5,1,4,1,5,1,5,1,5,1,6,1,28,Sentences2,,f1|comp15|f2|inco11|f3|inco9|f4|comp7|f5|inco1|f6|comp6|f7|inco10|f8|inco12|f1|comp8|f2|comp14|f3|comp5|f4|inco4|f5|inco2|f6|comp13|f7|comp16|f8|inco3,32.78770447,-96.80000305,-1
R_06XVJDr1AA9pCct,Default Response Set,Anonymous,,,192.131.99.132,0,29/02/16 15:30,29/02/16 15:42,1,46937,A6ZAKE3FP8YKY,1,0,0,2.573,0,1,6,1,6,1,7,1,7,1,2,1,2,1,2,1,2,1,4,1,4,1,6,1,6,1,2,1,3,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,Sentences1,f1|comp4|f2|comp11|f3|inco14|f4|inco15|f5|inco6|f6|inco5|f7|comp12|f8|comp10|f1|comp1|f2|inco13|f3|inco16|f4|inco8|f5|comp2|f6|comp3|f7|inco7|f8|comp9,,39.96530151,-83.02349854,-1
R_cFHx98UZFmr8izP,Default Response Set,Anonymous,,,24.119.10.20,0,29/02/16 15:41,29/02/16 15:43,1,54717,A3D3NEQ158WUB0,1,7.176,22.223,24.317,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,4,1,3,1,5,1,7,1,6,1,6,1,7,1,5,1,4,1,4,1,5,1,4,1,6,1,7,1,5,1,35,Sentences2,,f1|inco12|f2|comp5|f3|inco10|f4|inco4|f5|inco11|f6|comp16|f7|comp14|f8|comp8|f1|inco2|f2|inco1|f3|comp15|f4|comp7|f5|comp13|f6|comp6|f7|inco3|f8|inco9,32.70379639,-109.6557999,-1
R_6Xvm2FPyTi0rrOR,Default Response Set,Anonymous,,,184.14.61.132,0,29/02/16 15:39,29/02/16 15:44,1,24391,A23TQQBMP0WE0X,1,1.377,113.556,114.181,92,1,5,1,5,1,5,1,5,1,2,1,2,1,3,1,3,1,5,1,5,1,5,1,5,1,3,1,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,Sentences1,f1|inco15|f2|comp12|f3|comp10|f4|inco13|f5|comp11|f6|comp4|f7|comp1|f8|inco14|f1|inco6|f2|inco7|f3|comp9|f4|inco8|f5|inco16|f6|inco5|f7|comp3|f8|comp2,,38.35980225,-81.53659821,-1
R_02o2JarhGmIkCa1,Default Response Set,Anonymous,,,73.208.210.107,0,29/02/16 15:41,29/02/16 15:44,1,91700,A1WR6M74EOTJNY,1,18.619,42.835,43.892,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,1,3,1,6,1,5,1,6,1,6,1,6,1,4,1,3,1,3,1,5,1,6,1,7,1,7,1,5,1,28,Sentences2,,f1|inco10|f2|comp8|f3|inco12|f4|inco11|f5|comp7|f6|comp15|f7|inco9|f8|comp13|f1|comp16|f2|inco2|f3|comp14|f4|inco1|f5|comp6|f6|comp5|f7|inco3|f8|inco4,41.97340393,-88.20649719,-1
R_7ZO5T9ZuMg13Bsh,Default Response Set,Anonymous,,,173.233.113.93,0,29/02/16 15:41,29/02/16 15:45,1,45781,A2S8ZTPKX3B928,1,0,0,29.853,0,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,Sentences1,f1|comp10|f2|comp1|f3|inco16|f4|inco14|f5|comp9|f6|inco7|f7|inco5|f8|comp11|f1|comp2|f2|comp3|f3|inco13|f4|comp12|f5|comp4|f6|inco8|f7|inco15|f8|inco6,,33.61740112,-80.21070099,-1
R_bDH0avHJSDvxdK5,Default Response Set,Anonymous,,,98.193.208.64,0,29/02/16 15:42,29/02/16 15:45,1,97751,A3US0VOOEK3VZ8,1,0,0,53.109,0,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,Sentences1,f1|comp9|f2|inco13|f3|comp1|f4|comp2|f5|inco6|f6|inco15|f7|comp11|f8|inco5|f1|comp12|f2|inco7|f3|comp3|f4|comp4|f5|inco8|f6|comp10|f7|inco16|f8|inco14,,36.1782074,-86.60980225,-1
R_24RkTrDSpjM19Xv,Default Response Set,Anonymous,,,107.10.210.189,0,29/02/16 15:52,29/02/16 15:53,1,20909,A142ZRU284W9O,1,0,0,3.927,0,1,4,1,5,1,5,1,5,1,4,1,3,1,3,1,3,1,6,1,4,1,5,1,4,1,3,1,2,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,Sentences1,f1|inco7|f2|inco16|f3|comp11|f4|comp10|f5|inco5|f6|inco6|f7|comp9|f8|comp3|f1|comp4|f2|inco15|f3|comp12|f4|comp2|f5|comp1|f6|inco14|f7|inco8|f8|inco13,,41.44520569,-81.69960022,-1
R_3t0UnC2ESmW0QOp,Default Response Set,Anonymous,,,75.99.158.2,0,29/02/16 15:52,29/02/16 15:55,1,17379,A39ROW50DWRRKT,1,0,0,3.984,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,5,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,32,Sentences2,,f1|inco12|f2|inco2|f3|comp14|f4|inco11|f5|comp13|f6|comp15|f7|inco9|f8|comp5|f1|inco1|f2|inco10|f3|inco3|f4|inco4|f5|comp7|f6|comp16|f7|comp6|f8|comp8,40.7684021,-74.49420166,-1
