ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,mturkid,Q5,time_1,time_2,time_3,time_4,f1,comp1,f2,comp2,f3,comp3,f4,comp4,f5,inco5,f6,inco6,f7,inco7,f8,inco8,f1,comp9,f2,comp10,f3,comp11,f4,comp12,f5,inco13,f6,inco14,f7,inco15,f8,inco16,f1,inco1,f2,inco2,f3,inco3,f4,inco4,f5,comp5,f6,comp6,f7,comp7,f8,comp8,f1,inco9,f2,inco10,f3,inco11,f4,inco12,f5,comp13,f6,comp14,f7,comp15,f8,comp16,sex,age,DO-BR-FL_45,DO-BL-Sentences1,DO-BL-Sentences2,LocationLatitude,LocationLongitude,LocationAccuracy
R_38gid1ZZuvooXYh,Default Response Set,Anonymous,,,96.32.109.175,0,29/02/16 15:28,29/02/16 15:30,1,61599,A2JCK494NV7TFX,1,0,0,29.204,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,3,1,2,1,7,1,5,1,6,1,7,1,2,1,2,1,2,1,4,1,7,1,7,1,7,1,7,1,33,Sentences2,,f1|comp13|f2|comp7|f3|inco3|f4|inco4|f5|inco12|f6|comp16|f7|comp5|f8|inco2|f1|comp15|f2|inco11|f3|inco9|f4|comp14|f5|comp6|f6|comp8|f7|inco10|f8|inco1,34.90109253,-82.2661972,-1
R_9XoElTfeLbBqnxH,Default Response Set,Anonymous,,,104.138.162.178,0,29/02/16 15:27,29/02/16 15:30,1,93313,A3OIUZPRX1LFYB,1,0,0,48.322,0,1,7,1,2,1,5,1,6,1,7,1,2,1,7,1,1,1,4,1,2,1,2,1,3,1,3,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35,Sentences1,f1|comp1|f2|inco15|f3|comp4|f4|comp9|f5|comp2|f6|inco8|f7|inco16|f8|inco13|f1|comp10|f2|inco14|f3|comp3|f4|comp12|f5|inco7|f6|inco6|f7|inco5|f8|comp11,,36.02200317,-80.29139709,-1
R_07fp1qaPsFX8KAB,Default Response Set,Anonymous,,,75.179.22.7,0,29/02/16 15:27,29/02/16 15:30,1,75705,AOMXLBIJ54UJR,1,8.302,9.819,53.787,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,2,1,4,1,5,1,4,1,5,1,4,1,3,1,4,1,4,1,3,1,4,1,5,1,6,1,4,1,29,Sentences2,,f1|comp15|f2|inco2|f3|comp8|f4|comp5|f5|inco4|f6|inco1|f7|inco3|f8|comp14|f1|inco9|f2|comp6|f3|comp16|f4|comp7|f5|comp13|f6|inco12|f7|inco10|f8|inco11,40.75720215,-81.42379761,-1
R_8G332aAbp5UU7qt,Default Response Set,Anonymous,,,173.21.62.176,0,29/02/16 15:28,29/02/16 15:31,1,20271,A248P03SBIGVNH,1,0,0,93.318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,3,1,5,1,7,1,7,1,7,1,4,1,2,1,2,1,2,1,6,1,7,1,5,1,6,2,25,Sentences2,,f1|inco4|f2|comp5|f3|comp15|f4|inco2|f5|inco11|f6|comp8|f7|inco3|f8|comp16|f1|comp13|f2|inco1|f3|inco9|f4|inco10|f5|inco12|f6|comp6|f7|comp7|f8|comp14,30.60609436,-87.85800171,-1
R_3CnmGv73Mi35ho9,Default Response Set,Anonymous,,,50.46.142.162,0,29/02/16 15:29,29/02/16 15:31,1,70141,A2E3TO92MCQ9XU,1,1.519,1.519,37.327,1,1,5,1,5,1,5,1,5,1,3,1,3,1,3,1,3,1,5,1,5,1,5,1,5,1,3,1,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,Sentences1,f1|inco8|f2|inco5|f3|comp1|f4|comp12|f5|comp3|f6|comp10|f7|inco6|f8|comp9|f1|comp4|f2|inco13|f3|comp2|f4|inco14|f5|inco15|f6|inco7|f7|comp11|f8|inco16,,47.82090759,-122.3151016,-1
R_5aQvmdJI1wUJgIB,Default Response Set,Anonymous,,,99.177.133.195,0,29/02/16 15:30,29/02/16 15:31,1,62149,A1RT20J7MII0HU,1,0,0,1.804,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,34,Sentences2,,f1|inco4|f2|inco2|f3|comp5|f4|comp6|f5|inco1|f6|comp8|f7|comp7|f8|comp16|f1|inco12|f2|comp14|f3|inco10|f4|comp13|f5|inco9|f6|inco3|f7|inco11|f8|comp15,42.26669312,-88.05079651,-1
R_1ZXef4babkShB77,Default Response Set,Anonymous,,,46.99.74.104,8,29/02/16 15:31,29/02/16 15:31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,20,-1
R_3fqPnEPNXNv5lWt,Default Response Set,Anonymous,,,132.236.82.159,0,29/02/16 15:28,29/02/16 15:32,1,34057,A33HHJ06ONLI5G,1,11.309,14.918,34.363,2,1,5,1,5,1,3,1,5,1,4,1,3,1,3,1,2,1,5,1,5,1,4,1,5,1,5,1,3,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,Sentences1,f1|inco7|f2|inco16|f3|comp11|f4|comp3|f5|inco8|f6|inco5|f7|inco6|f8|inco14|f1|comp1|f2|comp4|f3|comp2|f4|inco15|f5|comp9|f6|comp12|f7|comp10|f8|inco13,,42.44850159,-76.48040009,-1
R_0fhNItjRAB5oP4N,Default Response Set,Anonymous,,,65.88.88.203,0,29/02/16 15:28,29/02/16 15:32,1,34368,A37XJVQF62ZYC,1,0,0,48.533,0,1,6,1,6,1,6,1,6,1,2,1,2,1,2,1,2,1,4,1,3,1,4,1,6,1,2,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,52,Sentences1,f1|inco6|f2|inco8|f3|comp9|f4|inco16|f5|comp11|f6|inco14|f7|comp1|f8|inco15|f1|comp10|f2|comp3|f3|inco5|f4|inco13|f5|comp4|f6|comp2|f7|inco7|f8|comp12,,40.86480713,-73.88670349,-1
R_5bR58pyCWSf7YoJ,Default Response Set,Anonymous,,,184.89.129.4,0,29/02/16 15:28,29/02/16 15:32,1,75434,A1LEZ2R6RERVAB,1,0,0,53.077,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,7,1,7,1,7,1,7,1,1,1,1,1,2,1,2,1,7,1,7,1,7,1,7,1,42,Sentences2,,f1|comp8|f2|comp5|f3|inco9|f4|inco2|f5|inco12|f6|inco10|f7|comp14|f8|inco11|f1|comp6|f2|comp7|f3|inco4|f4|inco3|f5|comp13|f6|comp15|f7|inco1|f8|comp16,28.48069763,-81.55180359,-1
